,age,[Z/H],alpha,HdA,HdF,HgA,HgF,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C4668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,<Fe>,MgFe
36,12,-1.35,0.3,3.05,2.45,0.429,1.65,-0.0792,-0.0403,0.512,2.2,1.11,0.532,1.49,-0.109,2.31,2.06,0.0235,0.0817,1.44,1.12,0.889,0.45,0.341,0.153,1.28,0.0151,0.00568,1.0045,1.20269696931521
37,13,-1.35,0.3,3.32,2.67,0.731,1.85,-0.0861,-0.0451,0.503,2.01,1.04,0.508,1.45,-0.161,2.39,2.01,0.0243,0.0817,1.45,1.09,0.867,0.437,0.333,0.141,1.31,0.0152,0.00573,0.9785,1.19114440770211
38,14,-1.35,0.3,3.98,3.11,1.47,2.26,-0.0974,-0.0519,0.482,1.63,0.887,0.475,1.39,-0.194,2.56,1.96,0.0258,0.0817,1.45,1.08,0.856,0.435,0.329,0.138,1.34,0.0154,0.00614,0.968,1.18473625756959
39,15,-1.35,0.3,4.3,3.31,1.8,2.42,-0.103,-0.0544,0.471,1.46,0.833,0.468,1.36,-0.19,2.62,1.94,0.0272,0.0799,1.38,1.09,0.864,0.443,0.333,0.141,1.36,0.0151,0.00547,0.977,1.16114598565383
40,0.1,-0.33,0.3,7.12,5.53,6.26,5.51,-0.0967,-0.0498,-0.0939,-0.396,-0.234,0.164,0.537,0.117,3.63,1.18,0.0163,0.0499,0.928,0.472,0.232,0.111,0.285,0.166,0.968,0.0119,0.00251,0.352,0.571538275183736
41,0.2,-0.33,0.3,8.13,5.98,7.55,5.99,-0.169,-0.0939,0.0157,-0.832,-0.605,0.135,0.622,-0.0352,5.47,1.33,0.0229,0.0601,1.07,0.541,0.277,0.12,0.341,0.185,1.1,0.0147,0.00307,0.409,0.661536091230101
42,0.4,-0.33,0.3,8.75,6.12,8.19,6.15,-0.179,-0.103,0.14,-0.754,-0.516,0.252,0.916,0.0874,5.67,1.69,0.0215,0.0655,1.2,0.723,0.434,0.19,0.38,0.207,1.18,0.0142,0.00134,0.5785,0.833186653757728
43,0.6,-0.33,0.3,8.31,5.7,7.39,5.61,-0.16,-0.09,0.24,-0.0756,-0.112,0.405,1.24,0.463,5.15,2.16,0.0248,0.0771,1.4,1,0.664,0.34,0.461,0.276,1.31,0.0154,0.00457,0.832,1.07925900505856
44,0.8,-0.33,0.3,7.45,5.13,5.98,4.85,-0.128,-0.0633,0.335,0.673,0.319,0.576,1.57,0.904,4.51,2.8,0.0333,0.098,1.62,1.32,0.912,0.56,0.603,0.403,1.43,0.019,0.0149,1.116,1.34458915658278
45,1,-0.33,0.3,6.14,4.37,4.32,3.95,-0.101,-0.0416,0.431,1.49,0.908,0.73,1.84,1.38,3.95,3.19,0.0396,0.113,1.84,1.55,1.12,0.721,0.664,0.465,1.58,0.0216,0.0213,1.335,1.56729065587721
46,2,-0.33,0.3,3.33,2.82,0.772,2.09,-0.0561,-0.00988,0.652,3.01,1.89,0.971,2.26,2.09,3.01,3.64,0.0495,0.137,2.24,1.82,1.39,0.898,0.702,0.516,1.85,0.0284,0.0366,1.605,1.89610126311861
47,3,-0.33,0.3,2.21,2.21,-0.618,1.34,-0.0407,0.00101,0.748,3.55,2.27,1.05,2.4,2.34,2.66,3.78,0.054,0.148,2.41,1.91,1.49,0.944,0.706,0.529,1.99,0.0319,0.0439,1.7,2.02410474037289
48,4,-0.33,0.3,1.56,1.82,-1.45,0.856,-0.0296,0.00897,0.814,3.93,2.55,1.11,2.49,2.48,2.44,3.87,0.0573,0.155,2.52,1.98,1.55,0.98,0.713,0.538,2.07,0.033,0.0473,1.765,2.10898079649863
49,5,-0.33,0.3,1.18,1.6,-2.01,0.548,-0.0232,0.0133,0.856,4.17,2.73,1.15,2.55,2.55,2.3,3.93,0.0594,0.159,2.59,2.02,1.58,1,0.716,0.541,2.13,0.0334,0.049,1.8,2.15916650585359
50,6,-0.33,0.3,0.869,1.43,-2.46,0.298,-0.0189,0.016,0.895,4.35,2.89,1.18,2.59,2.59,2.21,3.96,0.0616,0.164,2.66,2.05,1.62,1.03,0.717,0.543,2.19,0.0341,0.0514,1.835,2.20932116271039
51,7,-0.33,0.3,0.587,1.28,-2.85,0.0723,-0.0144,0.0192,0.932,4.52,3.01,1.21,2.64,2.66,2.12,4.01,0.064,0.169,2.75,2.09,1.65,1.05,0.72,0.547,2.25,0.0348,0.0535,1.87,2.26770809408971
52,8,-0.33,0.3,0.368,1.16,-3.16,-0.101,-0.0114,0.0213,0.963,4.65,3.12,1.23,2.67,2.7,2.05,4.04,0.0663,0.173,2.82,2.11,1.68,1.07,0.722,0.55,2.31,0.0354,0.0555,1.895,2.31168769516992
53,9,-0.33,0.3,0.147,1.05,-3.46,-0.274,-0.00796,0.0238,0.995,4.78,3.2,1.26,2.71,2.76,1.98,4.14,0.068,0.178,2.91,2.15,1.71,1.08,0.725,0.554,2.36,0.0363,0.0574,1.93,2.36987341434094
54,10,-0.33,0.3,-0.119,0.909,-3.8,-0.469,-0.00322,0.0279,1.03,4.94,3.34,1.3,2.76,2.85,1.9,4.16,0.0717,0.184,2.98,2.19,1.74,1.1,0.732,0.561,2.43,0.0373,0.0603,1.965,2.41985536757881
55,11,-0.33,0.3,-0.332,0.802,-4.07,-0.624,0.000556,0.0312,1.06,5.06,3.45,1.33,2.81,2.92,1.83,4.2,0.0746,0.189,3.04,2.23,1.78,1.14,0.739,0.568,2.49,0.038,0.0629,2.005,2.46884588421392
56,12,-0.33,0.3,-0.491,0.711,-4.27,-0.748,0.00347,0.0335,1.08,5.16,3.51,1.35,2.84,2.96,1.77,4.29,0.0768,0.193,3.11,2.26,1.8,1.15,0.745,0.572,2.54,0.0386,0.0644,2.03,2.51262810618683
57,13,-0.33,0.3,-0.617,0.663,-4.43,-0.833,0.00527,0.0353,1.1,5.22,3.58,1.38,2.87,3.01,1.73,4.31,0.0795,0.197,3.15,2.28,1.82,1.17,0.748,0.574,2.59,0.0394,0.0662,2.05,2.54116115191461
58,14,-0.33,0.3,-0.65,0.662,-4.48,-0.862,0.00532,0.0357,1.12,5.24,3.62,1.39,2.88,3.02,1.71,4.31,0.0823,0.2,3.18,2.3,1.83,1.18,0.754,0.577,2.63,0.0395,0.0677,2.065,2.56255731643216
59,15,-0.33,0.3,-0.741,0.628,-4.59,-0.929,0.00655,0.0371,1.14,5.29,3.67,1.41,2.91,3.05,1.68,4.34,0.085,0.203,3.2,2.32,1.85,1.19,0.76,0.581,2.68,0.0397,0.069,2.085,2.58302148655407
60,0.1,0,0.3,7.9,5.8,7.22,5.85,-0.109,-0.057,0.0213,-0.382,-0.468,0.22,0.515,0.342,4.2,1.22,0.0231,0.0655,1.16,0.486,0.162,0.0612,0.321,0.203,1.08,0.0136,0.00624,0.324,0.61305790917335
61,0.2,0,0.3,9.16,6.49,8.77,6.49,-0.175,-0.0949,0.12,-1.01,-0.744,0.263,0.712,0.571,6.01,1.7,0.0314,0.0788,1.35,0.747,0.368,0.202,0.463,0.297,1.31,0.0156,0.00534,0.5575,0.867539624455275
